Manufacturer,Model,Incentive,Battery Capacity (kWh),Mileage (km/kWh),Range (km),Price,Charging Time
Ampere Vehicles,Zeal VX1,19600,1.96,40.49,84,92500,5-6
Ampere Vehicles,Magnus,18000,1.8,40,90,92000,5-6
Ampere Vehicles,ZEAL,18000,1.8,44.25,108,86000,5-6
Ampere Vehicles,ZEAL CA,18000,1.8,39.68,90,96000,5-6
,,,,,,,
Ather Energy,Ather 450X,29000,2.9,24.39,117,155000,5.45
Ather Energy,Ather 450,27000,2.7,15.67,105,120000,5.25
Ather Energy,Ather450,26732,2.7,16.08,105,,
,,,,,,,
Benling INdia,Aura,23300,2.9,39.37,82,80000,4
Hero Electric,NYX HX,29660,4.6,27.93,212,75000,4-5
Hero Electric,N61a,22000,2.17,33.9,92,,
Hero Electric,NYX n23a,19000,1.9,32.48,94,68000,4-5
Hero Electric,NYX Pro,18747,2.1,34.48,94,70000,4-5
Hero Electric,NYX HS 500 ER,18601,2.9,33.22,127,85000,4-5
Hero Electric,Optima HS 500 ER,18326,2.9,32.26,113,90000,4.5
Hero Electric,Optima Pro,17248,2.1,31.95,91,87500,4
Hero Electric,Photon LP,17000,1.7,39.53,91,85000,5
Hero Electric,Optima e5,14752,1.5,30.77,82,75000,4
Hero Electric,NYX e5,15000,1.54,31.45,82,82000,5
Hero Electric,Optima Pro(2.02 kWh),,2.02,3,98,90000,5
,,,,,,,
Jitendra New EV Tech,JMT1000HS,19754,2,34.6,90,65000,3
Jitendra New EV Tech,JMT 1000 HS Cargo,19720,,36.1,88,75000,3.5
Jitendra New EV Tech,JMT 1000 48V,,2.2,29.9401,83,80000,4
Jitendra New EV Tech,JMT 1000 HS PLus,,4.04,3.23,156,85000,4
Jitendra New EV Tech,JMT 1000 3K,,3.2,3.2,117,85000,4
,,,,,,,
Li Ions Elektrik Solutions,Spock,27465,2.9,24.81,,70000,4
Microcon,Anav12,,,,,81000,
Okinawa,iPRAISE,26000,2.6,28.57,159,125000,4-5
Okinawa,iPRAISE+,30000,3.3,36.76,139,130000,4-5
Okinawa,Praise Pro,19000,1.9,36.36,88,140000,4-5
Okinawa,RIDGE+,17000,1.7,27.78,84,75000,2-3
,,,,,,,
Ola Electric,OLA S1,,,,,120000,4.5
Ola Electric,OLA S1 Pro,,,,,150000,6.5
,,,,,,,
Revolt Motors,RV400,30000,3.2,38.61,147,130000,4.5
Revolt Motors,RV300,27000,2.7,32.36,102,110000,4.5
,,,,,,,
,,,,,,,
Tunwal E-vehicle,TZ 3.3,28000,2.9,28.17,107,55000,4-5
Tunwal E-vehicle,Storm ZX Plus,24000,2.4,38.46,99,60000,4-5
Tunwal E-vehicle,T 133,24000,2.4,38.46,99,65000,4-5
Tunwal E-vehicle,TEM G33,24000,2.4,38.46,99,70000,4-5
Tunwal E-vehicle,RomaS,24000,2.4,38.46,99,75000,4-5
,,,,,,,
TVS Motor,iQube,22500,2.25,19.42,86,150000,6
,,,,,,,
Booma Innovative,ANAV 1200,,2,3.6,80,77000,4-5
,,,,,,,
Kabira Mobility,Intercity 300,,2.82,2.7,134,60000,4
Kabira Mobility,Intercity 350,,2.82,2.7,134,70000,4
Kabira Mobility,Hermes 75,,2.82,2.9,122,95000,5
,,,,,,,
Lectrix,e-city Zip D40,,2,3.65,89,40000,6
Lectrix,e-city Zip C40,,2,3.65,89,50000,6
